id,user_name,department,ip_transform,device_num_transform,browser_version,browser,os_type,os_version,op_datetime,ip_type,http_status_code,op_city,log_system_transform,url,op_month
13,tangguifang4636,rd,9kqHtZdjD,b9ADJJLeCoyD,edge_93,edge,win,win10,2022-05-24 13:45:41,内网,200,深圳,fwM6KZKjrzjm,xxx.com/oa,2022-05
14,xujie9775,other,SJwv4mEe7,PV9ahGuqwn4t,chrome_77,chrome,win,win10,2022-06-23 14:21:00,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-06
15,sunzhiqiang8616,rd,2UPuVp3jD,U3vZVEEyMm17,chrome_90,chrome,win,win7,2022-05-30 18:22:18,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-05
16,wangwei9875,sales,0Q4yOGNil,8bCWDahC7Gaq,edge_93,edge,win,win10,2022-06-20 16:21:43,内网,200,重庆,sW0whYIx8LFM,work.xxx.com/task,2022-06
17,xieyulan7035,rd,22S6seXOC,s9vItuaVQkNn,chrome_90,chrome,win,win10,2022-05-26 08:57:32,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-05
18,liguizhen5081,rd,279KZwOsE,iHjuALht4Rkj,chrome_77,chrome,win,win10,2022-05-19 10:27:59,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
19,ligang8428,rd,3FuJEoZPa,O0z4bdaN1tBX,ie_9,ie,win,win10,2022-05-24 19:18:16,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
20,wangguirong8195,other,7BJUwsqjq,IUM0CBTaOBp6,chrome_93,chrome,win,win10,2022-06-24 14:31:47,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-06
21,genglin9252,rd,3YLGmJvFF,LyJXjnSk8YnP,edge_93,edge,win,win10,2022-05-23 19:03:46,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
22,liguizhen5081,rd,279KZwOsE,iHjuALht4Rkj,chrome_77,chrome,win,win10,2022-05-16 09:11:11,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
23,genglin9252,rd,3YLGmJvFF,LyJXjnSk8YnP,edge_93,edge,win,win10,2022-06-16 17:45:38,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
24,huangbing5590,accounting,RREBzjGR4,APVLKac2thV2,edge_93,edge,win,win10,2022-06-06 15:28:28,内网,200,深圳,2UNHLdxlhIzv,xxx.com/accounting,2022-06
25,zhaoshuhua2855,rd,UOnf2pz36,IIE74Ejh0Duy,chrome_90,chrome,win,win10,2022-06-21 10:03:06,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-06
26,liguiying8319,rd,aS11rfWz4,CYUCfieM2Iss,edge_93,edge,win,win10,2022-06-17 09:04:23,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
27,xuxiuying8050,rd,w2CfuqTz3,O54DfqjlCrhL,ie_11,ie,win,win10,2022-05-20 15:18:09,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-05
28,qinlei6092,other,14oeZAnXE,21DcH4wj4tEf,edge_93,edge,win,win7,2022-06-17 17:26:22,内网,200,深圳,fwM6KZKjrzjm,xxx.com/oa,2022-06
29,xiongkai3397,rd,6H1iPLgBB,GCgxrFb69up7,chrome_93,chrome,win,win10,2022-05-16 11:01:14,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
30,shixiuzhen2386,sales,WsbzBcKr1,E5Mjdi1Ka59s,edge_93,edge,win,win10,2022-05-09 14:37:07,内网,200,杭州,RwHe8Q1R7AlB,business.xxx.com/,2022-05
31,liguiying8319,rd,aS11rfWz4,CYUCfieM2Iss,edge_93,edge,win,win10,2022-06-29 09:56:05,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-06
32,lijing7913,rd,3lOkeiuhp,8XwwfyYXx2eH,edge_93,edge,win,win10,2022-05-06 09:41:30,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
33,wangguirong8195,other,7BJUwsqjq,IUM0CBTaOBp6,chrome_93,chrome,win,win10,2022-06-28 09:51:49,内网,200,深圳,2umVQwhiiwNJ,xxx.com/mail,2022-06
34,xuxiuying8050,rd,w2CfuqTz3,O54DfqjlCrhL,ie_11,ie,win,win10,2022-06-08 11:58:48,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
35,zhangxin3595,rd,97RJWSJac,6YuqJIvp6wuX,edge_93,edge,win,win10,2022-05-19 11:56:23,内网,200,杭州,2umVQwhiiwNJ,xxx.com/mail,2022-05
36,xufeng5019,rd,F9a4DlutV,6ypVTOMezZPI,edge_93,edge,win,win11,2022-06-16 14:50:44,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
37,fanshulan3712,sales,YT75U8tnL,8X5MTrzXSIqA,chrome_93,chrome,win,win10,2022-06-27 14:46:38,内网,200,广州,sW0whYIx8LFM,work.xxx.com/task,2022-06
38,wufei5873,rd,gO6UkNuJ5,ikOCpO4j3KU9,ie_11,ie,win,win10,2022-05-10 15:54:28,内网,200,深圳,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
39,fangxiurong4573,rd,36T8BC5gI,8mChagTPYOoL,edge_93,edge,win,win10,2022-05-13 17:36:50,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
40,fenglihua1382,sales,3S2rCBoyX,72IsjEv4ThEB,safari_13,safari,macos,macos_big_sur_11,2022-06-15 11:03:20,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
41,wangguirong8195,other,7BJUwsqjq,IUM0CBTaOBp6,chrome_93,chrome,win,win10,2022-06-16 12:19:55,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-06
42,huangyan1787,sales,06Qx36reA,1BmyW1drMraT,chrome_90,chrome,win,win10,2022-05-24 18:06:51,内网,200,深圳,fwM6KZKjrzjm,xxx.com/oa,2022-05
43,wuxia2427,sales,pRfrpnG39,Wrv3vNAxhxhu,safari_13,safari,macos,macos_big_sur_11,2022-05-13 13:59:30,内网,200,重庆,RwHe8Q1R7AlB,business.xxx.com/,2022-05
44,yangxin9544,rd,N5GB4gsS7,798WtsqdmzON,chrome_90,chrome,win,win10,2022-05-19 14:49:28,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-05
45,liwen5261,rd,6UOpo6j2N,01GOhHDp463z,edge_93,edge,win,win10,2022-06-15 19:36:58,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-06
46,caohui3132,hr,t6UXa0cTT,S05VjSkg47I4,safari_13,safari,macos,macos_big_sur_11,2022-06-16 15:38:10,内网,200,深圳,a5G25puBl9xj,hr.xxx.com/,2022-06
47,wangshuying3230,rd,rt93AWa7u,c2ktd8xZIUsB,edge_93,edge,win,win10,2022-05-13 16:47:20,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
48,lijing7913,rd,3lOkeiuhp,8XwwfyYXx2eH,edge_93,edge,win,win10,2022-05-19 15:14:20,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
49,zhangxin3595,rd,97RJWSJac,6YuqJIvp6wuX,edge_93,edge,win,win10,2022-06-01 14:54:48,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
50,huli1889,sales,5UwGNrsM9,qCV5fVA95BlQ,chrome_90,chrome,win,win10,2022-06-02 15:47:21,内网,200,杭州,RwHe8Q1R7AlB,business.xxx.com/,2022-06
51,chenjun2799,sales,6s7AxscE2,d0Tcifk9omYQ,edge_93,edge,win,win10,2022-05-20 09:51:32,内网,200,成都,RwHe8Q1R7AlB,business.xxx.com/,2022-05
52,lixia2119,rd,8GWruo4VK,pLxAO9Wq3F1j,edge_93,edge,win,win10,2022-06-10 17:22:20,内网,200,成都,sW0whYIx8LFM,work.xxx.com/task,2022-06
53,lichen1456,rd,VfRbHvxL7,4G2Bw0Csw5lz,edge_93,edge,win,win7,2022-05-11 16:22:18,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
54,liyuzhen4662,rd,5FURrfpj5,sL7bfqAu38XZ,chrome_90,chrome,win,win10,2022-05-11 19:35:36,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
55,liuxiuhua9413,hr,01O12ceaZ,0bdar6YzF7TR,safari_13,safari,macos,macos_big_sur_11,2022-06-08 14:56:34,内网,200,深圳,a5G25puBl9xj,hr.xxx.com/,2022-06
56,tiankun9936,sales,45lNcWcb1,3ANg3oEpqSxD,chrome_90,chrome,win,win10,2022-05-07 15:07:59,内网,200,杭州,RwHe8Q1R7AlB,business.xxx.com/,2022-05
57,qulin1693,rd,I1r9SFxlF,2u1rhQmiknmk,safari_13,safari,macos,macos_big_sur_11,2022-05-07 16:34:02,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-05
58,xielin3822,sales,rY7u3TkaY,X9RHOzThlnFS,edge_93,edge,win,win7,2022-06-02 11:09:42,内网,200,苏州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
59,guojianping9672,rd,GVhZtW4i1,rqRxAjAL1RYC,firefox_78,firefox,win,win10,2022-06-27 09:29:06,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
60,ranxiuzhen6780,sales,r0lWoWxac,XT6rv8cyHt6J,safari_13,safari,macos,macos_big_sur_11,2022-06-17 14:08:17,内网,200,成都,RwHe8Q1R7AlB,business.xxx.com/,2022-06
61,lvyong5160,sales,7oHk6rYD1,Y28jqypG4aOB,chrome_90,chrome,win,win10,2022-06-01 09:44:55,内网,200,贵阳,fwM6KZKjrzjm,xxx.com/oa,2022-06
62,zhangyu6577,rd,vqas26KdL,7XGXdzsk7SDA,chrome_90,chrome,win,win10,2022-05-07 15:26:53,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
63,liangshulan8154,sales,yS1GaXpf3,FgFXwvk2F1Wm,chrome_90,chrome,win,win10,2022-06-29 09:21:09,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
64,duanguiying2657,rd,08K7A9ne1,kMRm5KEb0ovh,chrome_90,chrome,win,win11,2022-06-02 17:43:12,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
65,caohui3132,hr,t6UXa0cTT,S05VjSkg47I4,safari_13,safari,macos,macos_big_sur_11,2022-05-10 17:28:41,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-05
66,xiexiaohong5806,rd,G8OjKvHJz,2ZOGB1eOX3vU,edge_93,edge,win,win7,2022-06-17 15:12:42,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
67,tiankun9936,sales,45lNcWcb1,3ANg3oEpqSxD,chrome_90,chrome,win,win10,2022-06-16 09:20:32,内网,200,上海,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
68,huanglei2908,sales,4HylDM5Il,3nvH2PHqvZrr,safari_13,safari,macos,macos_big_sur_11,2022-06-09 16:23:10,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-06
69,zhangbo1186,rd,Zv7KJvlR6,2pOKemyYTkvI,edge_93,edge,win,win10,2022-06-08 18:35:30,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-06
70,cenglili3725,rd,0RulcExcL,r33JCsELNTFZ,edge_93,edge,win,win10,2022-05-13 09:01:48,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
71,zhanglihua7105,rd,6BDqOnM2H,8Bklz7k6AMBE,chrome_90,chrome,win,win10,2022-06-24 16:42:24,内网,200,杭州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
72,cendandan2851,rd,l5GL3bnl4,jUG1ecmbP6rI,chrome_90,chrome,win,win10,2022-06-17 16:10:25,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
73,liuchunmei3912,rd,5Cifo0glR,HLAdiXh668iK,chrome_90,chrome,win,win10,2022-06-30 15:51:11,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
74,liuchunmei3912,rd,5Cifo0glR,HLAdiXh668iK,chrome_90,chrome,win,win10,2022-06-24 16:07:54,内网,200,成都,2umVQwhiiwNJ,xxx.com/mail,2022-06
75,hongchang3029,rd,DhTMwbtS5,5DmlITfRNR36,edge_93,edge,win,win10,2022-06-14 17:20:20,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-06
76,guoqian5447,rd,nFtt3Nr5T,O3hWNlj3qpqW,chrome_90,chrome,win,win7,2022-06-17 19:24:17,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
77,zhaoshuhua2855,rd,UOnf2pz36,IIE74Ejh0Duy,chrome_90,chrome,win,win10,2022-06-23 18:02:37,内网,200,深圳,2umVQwhiiwNJ,xxx.com/mail,2022-06
78,liuyu3316,sales,mVbljqyJ6,Beriq7on1mmB,firefox_78,firefox,win,win10,2022-05-27 11:59:17,内网,200,天津,2umVQwhiiwNJ,xxx.com/mail,2022-05
79,lijing7913,rd,3lOkeiuhp,8XwwfyYXx2eH,edge_93,edge,win,win10,2022-06-23 19:18:13,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
80,wangguirong8195,other,7BJUwsqjq,IUM0CBTaOBp6,chrome_93,chrome,win,win10,2022-05-16 14:58:04,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-05
81,yanglin6562,sales,eK12oQmm8,GnkVqPSy5nnl,ie_9,ie,win,win10,2022-05-13 11:34:00,内网,200,成都,RwHe8Q1R7AlB,business.xxx.com/,2022-05
82,ranqin1853,sales,DPb7EOrz5,uUDYfPs3t4tI,chrome_77,chrome,win,win10,2022-05-27 16:29:41,内网,200,成都,2umVQwhiiwNJ,xxx.com/mail,2022-05
83,wanglihua3720,sales,PPsmrpZx3,oZWobCMy9y7d,chrome_90,chrome,win,win10,2022-06-17 09:44:33,内网,200,深圳,RwHe8Q1R7AlB,business.xxx.com/,2022-06
84,liwen5261,rd,6UOpo6j2N,01GOhHDp463z,edge_93,edge,win,win10,2022-06-28 08:58:16,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-06
85,liulin3167,rd,u9diCFdYZ,Rfv57YyO3vny,safari_13,safari,macos,macos_big_sur_11,2022-05-25 10:51:59,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
86,libo2352,rd,JRuCTLMm1,PImvhsPp0AFS,chrome_90,chrome,win,win10,2022-06-28 09:40:59,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-06
87,tangguifang4636,rd,9kqHtZdjD,b9ADJJLeCoyD,edge_93,edge,win,win10,2022-06-21 09:30:31,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-06
88,wangguirong8195,other,7BJUwsqjq,IUM0CBTaOBp6,chrome_93,chrome,win,win10,2022-05-13 14:46:03,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-05
89,jinguixiang7806,rd,f5AqM3Kwj,PmF1OyXA5StT,chrome_90,chrome,win,win10,2022-06-09 09:52:37,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
90,hehongxia7416,rd,NGeB9nPD3,swh1mqEhXZFi,chrome_90,chrome,win,win10,2022-05-24 11:17:54,内网,200,杭州,2umVQwhiiwNJ,xxx.com/mail,2022-05
91,pengfan5076,rd,2qWPkWg5V,3wDqyLqvVCn1,firefox_78,firefox,win,win10,2022-05-31 13:03:42,内网,200,北京,sW0whYIx8LFM,work.xxx.com/task,2022-05
92,zhaohongmei2829,rd,4RwkugApp,KqX2PEWxq3Mh,edge_93,edge,win,win10,2022-05-27 19:44:55,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-05
93,jingbo3416,rd,t9FREJwp8,7rHhoZ2Rv1Hf,chrome_90,chrome,win,win10,2022-06-02 16:00:30,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
94,chenjing7422,rd,db5BFx2dX,rXOriovd7MVW,edge_93,edge,win,win10,2022-05-12 14:14:23,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
95,huli1889,sales,5UwGNrsM9,qCV5fVA95BlQ,chrome_90,chrome,win,win10,2022-05-17 17:56:12,内网,200,杭州,2umVQwhiiwNJ,xxx.com/mail,2022-05
96,shenping7146,rd,7mXXPk8zL,d9oq5vCk6JMi,edge_93,edge,win,win10,2022-05-09 15:07:45,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
97,zhanglihua7105,rd,6BDqOnM2H,8Bklz7k6AMBE,chrome_90,chrome,win,win10,2022-06-15 09:20:11,内网,200,杭州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
98,shiyan6227,rd,9kllcUfJO,1NnRdFzp9NWJ,chrome_90,chrome,win,win7,2022-06-17 13:51:04,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-06
99,maohaiyan4824,rd,3XPunvYti,04F4iKnBDqb6,safari_13,safari,macos,macos_big_sur_11,2022-05-25 15:35:05,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-05
100,mayang4022,rd,pxWp9QpTc,2EmjEhrepKLJ,edge_93,edge,win,win10,2022-05-16 14:43:30,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
101,liuyu2660,other,G7Shwm0JO,T2H1mGc6fYWL,edge_93,edge,win,win10,2022-06-16 15:48:15,内网,200,深圳,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
102,huangjuan5637,rd,oTqQQWKt5,44BDMyay4hg1,chrome_90,chrome,win,win11,2022-05-19 14:03:44,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
103,lihaiyan6069,accounting,Q2KMuR6rd,tGe3La5sME5n,edge_93,edge,win,win10,2022-06-14 11:05:36,内网,200,深圳,2UNHLdxlhIzv,xxx.com/accounting,2022-06
104,wufei5873,rd,gO6UkNuJ5,ikOCpO4j3KU9,ie_11,ie,win,win10,2022-05-17 19:13:48,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
105,wangzhiqiang5883,rd,dXBMOjrr9,GH5w6zTcZL0R,firefox_78,firefox,win,win10,2022-06-14 18:49:42,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
106,caoyu4082,rd,m332Rpw2F,x1EcTfUyrJbE,chrome_90,chrome,win,win7,2022-06-28 11:49:50,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
107,genglin9252,rd,3YLGmJvFF,LyJXjnSk8YnP,edge_93,edge,win,win10,2022-05-12 09:52:40,内网,200,成都,sW0whYIx8LFM,work.xxx.com/task,2022-05
108,wangying9098,rd,4uHWcskWv,1baNbqxMWcCu,ie_11,ie,win,win10,2022-06-07 13:51:25,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
109,qinlei6092,other,14oeZAnXE,21DcH4wj4tEf,edge_93,edge,win,win7,2022-05-11 15:10:15,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-05
110,gaofeng5184,rd,qmZ4TTkyp,AYpqOsD47K9p,edge_93,edge,win,win10,2022-05-17 09:12:36,内网,200,杭州,2umVQwhiiwNJ,xxx.com/mail,2022-05
111,liwen5261,rd,6UOpo6j2N,01GOhHDp463z,edge_93,edge,win,win10,2022-06-22 18:42:48,内网,200,北京,2umVQwhiiwNJ,xxx.com/mail,2022-06
112,huangbing5590,accounting,RREBzjGR4,APVLKac2thV2,edge_93,edge,win,win10,2022-06-29 10:38:55,内网,200,深圳,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
113,liuchunmei3912,rd,5Cifo0glR,HLAdiXh668iK,chrome_90,chrome,win,win10,2022-05-27 18:06:06,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
114,yangxin9544,rd,N5GB4gsS7,798WtsqdmzON,chrome_90,chrome,win,win10,2022-06-08 14:30:25,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-06
115,huli1889,sales,5UwGNrsM9,qCV5fVA95BlQ,chrome_90,chrome,win,win10,2022-06-14 16:52:12,内网,200,上海,RwHe8Q1R7AlB,business.xxx.com/,2022-06
116,doushuzhen2613,rd,k6VyJke5r,Yrc7Vy9WNS7M,chrome_93,chrome,win,win10,2022-05-17 10:59:59,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
117,tanliu3173,rd,pPgzIf3S4,TzmgdvYq3Kx0,edge_93,edge,win,win10,2022-05-25 15:40:10,内网,200,杭州,sW0whYIx8LFM,work.xxx.com/task,2022-05
118,pengning9128,accounting,hFa9C5Kkg,39OE3BHMPdqV,chrome_90,chrome,win,win11,2022-05-12 16:28:24,内网,200,深圳,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
119,kangli4349,sales,sHx75qIn1,wG43OLpj9PUN,chrome_90,chrome,win,win10,2022-06-24 10:08:12,内网,200,重庆,RwHe8Q1R7AlB,business.xxx.com/,2022-06
120,songshuzhen8449,other,1gAxFewie,Cv0WxgH0yCRF,edge_93,edge,win,win7,2022-06-28 16:59:18,内网,200,深圳,9RAS6RNfETj5,xxx.com/checkingin,2022-06
121,caoyu4082,rd,m332Rpw2F,x1EcTfUyrJbE,chrome_90,chrome,win,win7,2022-06-01 19:06:13,内网,200,成都,sW0whYIx8LFM,work.xxx.com/task,2022-06
122,jingbo3416,rd,t9FREJwp8,7rHhoZ2Rv1Hf,chrome_90,chrome,win,win10,2022-06-28 14:09:20,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
123,gaofeng5184,rd,qmZ4TTkyp,AYpqOsD47K9p,edge_93,edge,win,win10,2022-05-23 19:38:56,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-05
124,zhaoshuhua2855,rd,UOnf2pz36,IIE74Ejh0Duy,chrome_90,chrome,win,win10,2022-05-09 09:33:52,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-05
125,wangxiurong2873,rd,56WEj8scE,1SRtvCb9DNFr,ie_11,ie,win,win10,2022-05-12 10:33:41,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-05
126,luoxiuzhen8469,sales,H7M7Euszu,xGr7O0Pe3i5M,ie_11,ie,win,win10,2022-06-24 15:56:09,内网,200,杭州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
127,tanliu3173,rd,pPgzIf3S4,TzmgdvYq3Kx0,edge_93,edge,win,win10,2022-05-09 16:39:48,内网,200,杭州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
128,liuwen2409,rd,5a7oGUesV,eCi9IsVr1WEJ,safari_13,safari,macos,macos_big_sur_11,2022-06-22 16:11:49,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-06
129,guojianping9672,rd,GVhZtW4i1,rqRxAjAL1RYC,firefox_78,firefox,win,win10,2022-05-13 19:24:45,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
130,xumei6766,rd,pvChFPr51,94Gccq5Jq1KK,edge_93,edge,win,win10,2022-06-23 10:03:24,内网,200,成都,sW0whYIx8LFM,work.xxx.com/task,2022-06
131,lifengying7211,rd,V1OBTNxYA,6NRAoXZogVDX,safari_13,safari,macos,macos_big_sur_11,2022-05-17 13:43:14,内网,200,杭州,sW0whYIx8LFM,work.xxx.com/task,2022-05
132,kangwen7485,rd,UyMwp0mq0,42y4i2PwNyBY,chrome_90,chrome,win,win10,2022-06-14 18:12:01,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
133,yeting6018,accounting,t7KiqE4yx,h8uS3IlwxjSQ,chrome_90,chrome,win,win7,2022-05-25 17:13:13,内网,200,深圳,2UNHLdxlhIzv,xxx.com/accounting,2022-05
134,shenlei2473,rd,6Bt6RloGI,qMOJXl9j3qIS,chrome_90,chrome,win,win10,2022-06-15 16:39:44,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-06
135,huting4731,rd,9rwJ3K2dP,K8k4JBhzqIdf,edge_93,edge,win,win10,2022-06-24 10:27:22,内网,200,深圳,nHrKgKdJ1Mzt,xxx.com/github,2022-06
136,zhangbo1186,rd,Zv7KJvlR6,2pOKemyYTkvI,edge_93,edge,win,win10,2022-06-20 08:50:36,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-06
137,caili5590,rd,5eXRfNKRw,nQh4tAxz6bsv,firefox_78,firefox,win,win10,2022-06-13 17:37:54,内网,200,成都,fwM6KZKjrzjm,xxx.com/oa,2022-06
138,baojianhua2916,rd,W4suCwUym,RlZlLWSvh292,chrome_90,chrome,win,win10,2022-06-24 17:51:22,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-06
